school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1
0,1,0,1,0,1,4,0,4,2,0,1,1,3,0,0,0,0,1,1,1,1,0,2,3,2,0,0,0,8,8
0,0,1,1,0,1,2,2,2,2,3,1,0,3,0,0,0,1,0,1,1,1,1,4,1,2,0,2,2,0,8
0,1,2,1,0,1,2,1,2,2,1,1,1,0,3,1,1,0,1,1,0,1,0,3,4,0,0,0,2,2,5
0,0,1,1,0,1,3,4,0,2,0,1,0,1,0,0,1,0,0,1,1,1,0,1,3,2,0,1,2,12,2
0,1,0,1,0,1,2,3,2,3,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1,1,0,2,2,2,7
0,1,0,1,0,1,2,3,2,2,1,1,0,2,0,1,0,1,0,0,1,1,0,4,2,1,0,1,4,4,8
0,0,0,1,1,1,3,2,3,2,3,1,0,1,0,0,1,1,0,1,1,1,0,3,3,3,0,0,4,10,4
0,1,0,1,1,1,2,2,3,3,1,1,1,1,0,0,0,1,1,1,1,1,0,4,2,2,0,2,3,4,12
0,0,0,1,0,1,1,1,2,2,1,0,0,1,0,0,1,0,1,0,1,1,0,3,2,1,1,2,3,2,6
0,0,0,1,0,1,4,4,3,3,3,0,1,1,2,0,0,1,0,1,1,1,1,3,3,3,1,2,4,6,4
0,0,1,1,1,1,2,2,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,3,2,3,0,1,1,4,5
0,0,0,1,0,1,4,2,2,2,3,1,0,2,0,0,1,0,1,1,1,1,0,4,2,2,0,2,0,4,10
0,1,1,1,0,1,2,2,3,2,3,0,1,1,1,0,0,1,1,0,1,1,0,3,3,1,0,0,2,12,8
0,1,1,1,1,0,4,4,4,1,3,1,0,1,0,0,1,0,0,1,1,0,0,3,0,2,2,4,4,18,5
0,0,1,1,0,1,3,3,2,2,1,1,0,2,0,0,1,1,0,1,1,1,1,3,2,2,0,2,3,0,4
0,0,0,1,0,1,4,3,3,2,3,1,0,0,0,0,0,1,1,1,1,1,0,3,4,4,0,2,0,4,13
0,0,1,1,1,1,3,1,2,2,1,0,0,1,0,1,1,0,0,1,1,0,0,2,2,2,1,2,1,4,4
0,0,1,1,0,1,4,2,4,3,1,1,1,1,0,0,1,1,1,1,1,1,0,4,2,2,0,0,0,0,8
0,1,0,1,1,1,2,2,3,1,3,1,0,3,0,0,1,0,1,1,1,1,0,3,2,3,0,0,3,6,8
0,0,0,0,0,1,1,1,0,2,1,1,1,3,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,2,4
0,1,1,0,0,1,4,3,3,2,3,1,1,0,0,1,1,0,1,0,1,1,0,2,2,2,0,0,3,2,8
0,0,1,1,0,1,2,1,2,2,0,1,0,1,0,0,1,1,0,1,1,0,1,3,2,4,0,0,4,2,5
0,0,1,1,0,1,4,4,2,2,3,1,0,0,0,0,0,0,1,0,1,1,0,4,2,3,0,1,0,6,8
0,0,1,1,0,1,4,3,2,0,0,1,0,2,0,1,1,1,0,1,1,1,0,4,2,4,0,0,2,0,4
0,1,1,1,0,1,4,4,3,3,2,1,0,0,0,1,1,1,1,1,1,1,0,3,4,4,4,4,3,14,4
0,1,1,1,0,1,4,4,3,4,2,0,0,2,0,0,1,0,1,1,1,1,1,3,3,2,0,0,3,0,13
0,1,0,1,0,1,4,4,3,2,0,1,0,0,0,0,1,0,1,0,1,1,0,4,2,2,0,0,4,4,7
0,0,0,1,0,1,3,2,3,2,1,1,1,1,0,1,1,1,0,1,1,1,0,3,2,4,0,0,1,26,4
0,1,0,1,0,0,3,4,3,2,0,1,0,1,0,0,1,1,1,1,1,1,0,4,3,3,0,0,0,0,13
0,0,0,1,0,0,3,3,2,1,3,0,0,3,0,1,0,0,0,1,1,0,0,3,2,2,0,0,3,10,7
0,0,0,1,0,1,2,2,2,2,0,1,0,3,0,1,1,1,0,1,1,1,0,4,0,1,0,0,2,8,4
0,1,1,1,0,1,3,3,3,2,1,0,0,2,0,0,1,0,1,1,1,1,0,4,2,2,0,0,4,2,13
0,1,0,0,0,1,4,4,2,2,1,0,3,3,0,0,1,1,1,1,1,1,1,0,2,4,2,4,0,6,7
0,0,1,1,1,1,4,4,1,1,2,1,0,2,0,0,1,1,1,1,1,1,1,4,3,4,0,0,3,4,11
0,1,0,1,1,0,4,4,4,4,0,1,0,0,0,0,0,0,1,1,1,1,0,4,4,2,0,0,3,6,15
0,0,1,0,0,1,3,3,3,2,3,0,0,2,1,1,1,0,1,1,1,1,0,3,0,1,0,0,1,0,4
0,0,1,1,0,1,2,2,0,2,1,1,0,1,1,1,0,0,1,1,1,1,0,2,0,1,0,0,4,6,7
0,1,0,1,1,1,4,2,4,2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,4,1,0,0,2,10,15
0,1,0,0,0,1,2,1,1,3,3,1,0,1,0,0,0,0,1,1,1,1,1,4,3,1,0,0,4,8,6
0,1,1,1,0,1,4,4,4,4,0,0,0,1,0,0,1,0,1,1,1,1,0,4,3,3,0,1,4,2,12
0,1,0,1,0,1,4,4,2,4,3,0,1,1,0,0,1,0,1,1,1,0,0,3,3,2,0,0,1,2,8
0,1,1,1,0,1,3,3,2,3,1,0,1,0,0,0,0,0,1,1,1,1,0,4,3,1,0,0,4,0,10
0,1,2,0,0,1,1,3,2,2,0,0,2,1,1,0,1,0,1,1,1,1,0,4,1,3,0,3,4,20,6
0,1,0,1,0,1,3,4,2,2,3,0,0,0,0,0,0,0,0,1,1,1,0,2,3,2,0,1,3,6,11
0,0,0,1,0,1,1,2,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,2,1,2,0,1,0,2,13
0,1,0,1,0,1,2,2,3,3,1,0,0,3,0,0,1,1,1,1,1,1,0,4,4,3,0,1,4,6,13
0,0,1,1,1,1,2,4,2,1,0,0,1,1,0,0,1,1,1,1,1,1,1,3,1,1,0,1,4,2,10
0,1,1,1,0,1,4,4,1,2,0,1,0,0,0,0,1,0,1,1,1,1,0,2,3,3,0,3,4,18,11
0,0,1,1,0,1,2,2,2,2,1,1,0,1,0,0,0,1,0,1,1,1,1,4,3,3,0,0,4,0,5
0,1,0,1,0,1,3,4,3,3,1,0,0,0,0,1,0,0,0,1,1,1,0,4,4,4,2,1,4,0,10
0,0,0,1,1,0,3,4,2,2,1,1,0,1,0,1,0,0,1,1,1,1,1,4,2,1,0,0,0,0,4
0,0,4,1,0,1,0,1,0,2,0,2,0,1,3,0,1,0,0,0,0,0,0,2,3,1,0,0,4,2,4
0,1,3,0,0,1,2,2,3,2,3,1,0,0,2,0,1,0,1,1,1,1,0,2,2,2,0,1,3,0,4
0,1,1,0,0,1,4,4,4,4,0,1,0,0,0,0,0,1,1,1,1,1,0,2,4,4,1,4,3,8,15
0,0,0,0,0,1,3,4,3,4,0,0,1,2,2,0,1,0,0,1,1,1,1,3,1,1,1,1,4,0,9
0,0,0,1,0,1,1,1,0,2,0,1,2,0,0,0,1,0,1,0,1,1,1,3,2,2,0,1,3,0,5
0,0,2,1,1,1,2,2,2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,2,3,3,0,2,4,12,7
0,0,1,1,0,0,3,4,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,3,4,16,9
0,1,0,0,0,1,3,4,0,4,0,1,3,1,0,0,1,0,0,1,1,0,1,4,2,2,0,0,4,0,6
0,0,0,1,0,1,4,4,3,0,0,1,0,2,0,0,1,0,1,1,1,1,1,3,2,2,0,0,4,0,8
0,1,2,0,0,1,3,4,0,2,0,1,2,1,0,0,0,0,0,1,1,0,0,4,3,4,1,3,4,0,7
0,0,1,1,0,0,3,3,2,2,0,2,1,0,2,0,1,0,1,0,1,1,1,3,2,1,0,0,4,0,1
0,1,1,1,1,1,1,1,3,2,0,1,0,1,1,0,0,0,0,1,1,0,1,3,3,3,0,2,4,0,11
0,0,0,1,0,1,4,4,4,4,0,1,1,0,0,0,0,0,1,1,1,1,0,3,2,1,0,0,4,0,13
0,1,0,1,0,1,4,3,4,3,0,0,1,3,0,1,1,0,0,1,1,1,0,1,1,1,0,0,2,0,4
0,1,1,1,1,1,2,2,3,3,3,0,1,0,2,0,1,0,1,1,1,1,0,1,2,2,1,1,1,8,6
0,0,0,1,0,1,4,4,4,3,0,1,0,2,0,0,1,1,1,1,1,1,0,3,1,1,0,0,4,2,6
0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,3,3,2,2,0,2,11
0,1,2,1,0,1,2,1,2,2,1,1,0,0,3,0,1,0,0,1,1,1,0,4,3,4,0,1,4,0,2
0,0,0,1,0,1,1,1,2,3,0,0,0,1,0,0,1,1,0,1,1,1,0,3,3,1,0,1,4,0,5
0,0,0,1,0,1,3,2,1,3,1,0,0,1,3,0,1,0,0,1,1,1,0,2,2,1,0,0,2,0,3
0,0,0,1,0,1,1,2,0,2,0,1,0,1,0,0,1,1,0,0,1,1,0,3,2,1,0,0,4,2,7
0,1,1,1,0,1,4,4,4,4,0,1,0,0,0,0,1,0,0,1,0,1,1,2,2,1,1,0,4,0,4
0,1,0,1,1,0,2,1,3,2,0,1,3,0,3,0,0,0,0,1,1,1,0,3,4,4,1,4,4,0,5
0,1,3,1,1,1,1,1,2,2,0,1,0,0,3,0,0,0,0,1,0,1,1,1,2,4,1,4,3,0,3
0,1,1,1,1,1,2,1,0,2,0,1,0,0,1,0,0,0,1,1,1,0,1,3,3,3,2,4,4,6,9
0,0,0,0,0,1,3,3,3,3,3,2,1,2,2,0,1,1,1,1,1,1,1,3,1,0,1,2,2,8,7
0,1,4,1,0,1,3,2,3,0,1,1,0,0,3,0,1,0,0,1,0,1,1,3,4,3,0,0,3,0,2
0,0,2,1,0,1,4,4,2,4,0,1,0,0,0,1,1,0,0,1,1,0,1,3,1,0,0,0,3,0,8
0,1,0,0,0,1,2,3,0,3,0,1,0,1,0,1,0,1,1,1,1,0,0,3,3,3,0,0,0,2,8
0,1,2,0,1,1,1,2,2,2,3,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,4,8,13
0,0,3,0,0,1,1,1,0,2,0,1,2,0,3,0,1,0,1,0,1,0,0,4,1,4,0,4,3,6,6
0,1,1,0,0,1,2,2,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,2,2,14
0,1,1,1,0,1,3,3,2,3,0,0,0,1,1,0,1,1,0,1,1,1,1,3,4,4,3,3,4,4,7
0,1,2,0,1,1,2,1,0,2,0,1,1,0,2,0,0,0,1,1,0,1,1,2,2,1,1,1,4,0,4
0,1,0,0,0,1,3,2,2,2,0,1,1,1,2,1,1,0,0,1,1,1,1,3,3,3,0,3,2,6,2
0,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,0,0,1,1,1,0,0,3,3,3,1,3,4,0,4
0,1,2,1,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,2,0,3,1,2,7
0,1,2,0,1,1,1,1,2,3,0,1,3,1,3,0,0,0,1,1,0,0,1,4,2,4,0,4,4,0,2
0,1,1,1,0,1,3,2,3,3,0,1,1,0,1,0,1,0,1,0,0,0,0,3,4,1,0,0,1,16,9
0,1,1,1,0,1,2,2,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2,4,1,3,3,4,7
0,0,1,1,0,1,4,2,1,3,1,0,0,1,0,0,0,1,0,1,1,1,1,3,1,2,0,0,2,0,11
0,0,1,1,0,1,2,2,2,2,1,1,0,1,0,0,1,1,0,0,1,1,0,4,0,4,0,0,3,0,3
0,0,1,1,0,1,4,4,1,1,3,1,0,1,0,0,1,1,0,1,1,1,1,3,3,1,0,0,2,0,11
0,1,1,1,0,1,3,4,2,2,0,0,2,0,2,0,1,0,1,0,1,1,0,2,3,4,1,3,1,0,3
0,1,1,1,0,1,1,0,2,2,3,1,1,1,0,0,1,1,1,1,1,1,1,3,2,1,0,0,2,2,10
0,1,2,1,1,1,4,4,4,2,3,1,0,1,0,0,1,1,1,1,1,1,0,3,3,3,0,2,4,0,10
0,0,1,1,0,1,1,3,0,3,1,1,0,1,3,0,0,0,1,0,1,1,1,3,2,4,0,0,2,0,5
0,0,1,1,1,1,3,3,2,2,3,1,1,1,0,0,1,1,1,1,1,1,0,3,3,4,0,0,3,4,7
0,1,2,1,1,1,4,3,4,2,0,1,1,1,0,0,0,1,1,1,1,1,0,3,3,3,3,3,3,4,7
0,0,1,1,0,1,2,2,3,2,3,1,1,1,0,0,0,1,1,0,1,1,0,2,3,3,0,3,4,2,10
0,1,2,1,0,1,3,3,2,2,3,0,0,1,0,0,0,0,1,0,1,1,0,3,2,3,0,3,3,4,3
0,1,1,0,0,1,4,2,4,3,2,1,0,0,0,0,1,0,1,1,1,1,1,3,2,2,2,3,2,10,7
0,1,2,1,0,1,4,3,2,2,0,1,0,1,0,0,1,0,1,1,1,1,1,4,1,2,0,0,1,4,7
0,1,1,1,0,1,4,3,4,2,1,1,0,1,0,0,1,1,1,1,1,1,0,2,3,2,1,2,2,10,6
0,1,1,1,0,1,3,3,3,2,1,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,0,1,2,2,9
0,0,2,1,0,1,2,4,3,3,3,0,0,1,0,0,1,0,1,1,1,0,0,4,3,1,1,2,4,0,13
0,0,2,1,1,1,3,3,2,2,3,1,0,1,0,0,1,0,1,1,1,1,1,4,2,2,1,2,0,32,6
0,0,1,1,0,1,3,2,2,2,3,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,14,9
0,1,2,1,0,1,3,3,3,3,2,1,0,1,0,0,1,0,1,1,1,1,1,3,2,3,1,2,3,12,9
0,1,1,1,0,1,1,2,3,3,2,1,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0,1,2,2,8
0,1,1,1,1,1,2,1,2,2,0,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,0,1,4,0,12
0,0,2,1,0,0,3,3,1,2,3,1,0,1,0,0,1,0,0,0,1,1,1,2,2,2,0,2,2,6,5
0,1,2,0,0,1,1,2,0,2,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,4,2,4,5
0,0,1,1,0,1,2,3,3,3,0,1,0,1,0,0,0,0,0,1,1,1,0,3,2,2,0,0,1,10,8
0,0,2,1,0,1,1,1,0,3,0,1,0,1,0,0,0,0,1,1,1,1,0,4,2,2,0,0,2,0,5
0,1,2,1,0,1,1,2,0,3,2,2,1,1,0,0,0,1,1,0,1,1,0,3,3,3,3,4,4,12,4
0,1,1,0,0,1,3,3,3,3,3,1,0,0,0,0,1,0,1,1,1,1,0,3,2,1,2,3,4,8,5
0,1,1,1,0,1,2,3,2,2,1,0,1,0,0,0,0,0,0,1,1,1,0,4,2,2,0,0,2,0,10
0,0,2,1,1,1,2,4,3,3,0,0,0,1,0,0,0,0,1,1,1,1,1,3,2,1,0,0,4,0,11
0,1,2,1,0,1,4,4,3,4,1,1,0,0,0,0,0,0,0,1,1,1,0,4,1,2,0,1,4,4,14
0,1,1,0,1,1,3,3,4,2,1,0,2,0,0,0,1,1,1,1,1,1,0,2,2,3,2,4,2,8,6
0,0,2,1,0,1,4,4,3,4,1,1,1,0,1,0,1,0,0,1,1,1,0,3,1,3,1,2,1,24,15
0,0,1,1,1,1,4,4,4,4,3,1,0,1,0,0,1,1,0,1,1,1,0,3,4,1,0,1,2,0,6
0,0,1,1,0,1,4,3,1,2,1,1,0,1,0,0,1,0,1,1,1,1,0,3,2,4,0,4,1,2,13
0,0,1,1,0,1,2,3,2,2,3,1,0,1,0,1,1,1,1,1,1,0,0,3,3,2,0,2,3,6,5
0,0,2,1,0,1,1,1,2,2,0,1,0,1,0,0,1,1,0,0,1,0,0,3,3,3,0,2,0,4,6
0,0,2,0,0,1,2,2,2,2,3,1,0,0,0,0,1,0,0,1,1,1,0,4,2,1,0,1,2,18,4
0,0,1,0,0,1,2,2,3,3,3,1,1,3,0,0,1,1,1,0,1,1,0,4,2,4,0,0,4,6,7
0,0,2,1,0,1,3,4,0,3,1,1,0,2,1,0,1,1,0,1,1,1,1,3,3,2,2,3,4,27,7
0,0,1,1,0,0,3,1,3,2,0,1,0,1,3,0,1,1,0,1,1,1,0,1,2,2,1,1,3,5,4
0,0,1,1,0,1,4,3,4,2,2,1,0,1,0,0,0,1,1,1,1,1,1,0,2,1,0,0,0,10,8
0,0,1,1,0,1,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1,0,0,3,2,1,0,3,4,6,6
0,0,2,0,0,1,4,3,4,2,3,1,1,2,0,0,1,1,1,1,1,1,1,3,3,1,0,0,3,6,4
0,0,4,1,0,1,3,3,2,2,3,2,0,3,0,0,1,1,1,1,1,1,0,3,2,2,0,1,2,10,5
0,1,2,1,1,1,4,4,3,2,1,1,0,1,0,0,1,1,0,1,1,1,1,4,2,4,3,4,2,13,9
0,0,1,1,0,0,2,2,2,2,3,1,0,1,0,1,1,1,0,1,1,1,0,2,2,3,0,0,3,0,9
0,1,3,1,0,1,2,2,3,2,1,1,0,1,1,0,1,1,1,1,1,1,0,3,3,3,1,3,4,15,3
0,0,2,0,1,1,4,4,3,2,2,1,0,0,0,0,1,1,0,1,1,0,0,4,1,0,0,1,2,12,5
0,0,2,1,1,1,3,2,2,2,3,1,1,1,0,0,0,1,0,1,1,1,0,3,3,3,0,2,0,2,11
0,0,2,1,0,1,4,3,2,2,3,1,0,1,2,0,0,1,0,1,1,1,1,2,3,4,1,3,0,22,3
0,1,3,1,1,1,3,3,3,1,1,0,0,1,1,0,1,1,0,1,1,1,0,2,1,3,1,3,3,13,3
0,0,2,1,0,1,2,3,0,2,1,0,1,0,0,0,1,1,0,1,1,0,0,2,2,2,0,3,2,3,4
0,0,2,1,0,1,2,2,0,0,0,1,0,2,0,0,1,1,1,1,1,1,0,3,2,2,0,0,3,4,6
0,0,2,0,0,1,2,1,0,3,3,1,1,1,0,0,1,0,1,1,1,1,0,3,1,4,0,1,4,2,3
0,0,2,1,0,1,1,1,0,2,3,1,0,2,1,0,1,0,1,1,1,0,1,3,2,3,0,0,4,0,3
