,age,Workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
31,20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,0
32,45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States,0
33,30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
34,22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,0
35,48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,0
36,21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
37,19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,0
39,48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
40,31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,0
41,53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
42,24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0
43,49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
44,25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,0
45,57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,1
46,53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,0
47,44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0
48,41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
49,29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0
50,25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,0
52,47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,1
53,50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,1
54,47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0
55,43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
56,46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,0
57,35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,0
58,41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,0
59,30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,0
60,30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,0
62,48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
63,42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1
64,29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,0
65,36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
66,28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
67,53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1
68,49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
70,19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,0
71,31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,0
72,29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,1
73,23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
74,79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,0
75,27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,0
76,40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0
78,18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,0
79,31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0
80,18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,0
81,52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,0
82,46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,0
83,59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,0
84,44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,1
85,53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,0
86,49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
87,33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
88,30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
89,43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,1
90,57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
91,37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,0
92,28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,0
94,34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
95,29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,0
96,48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,1
97,37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,1
98,48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,0
99,32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,0
100,76, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
101,44, Private,198282, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,1
102,47, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,0
103,20, Private,188300, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0
104,29, Private,103432, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
105,32, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,1
107,30, Private,194901, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
108,31, Local-gov,189265, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
109,42, Private,124692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
110,24, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0
111,38, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
112,56, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada,1
113,28, Private,377869, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,0
114,36, Private,102864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0
115,53, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,0
116,56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
117,49, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
118,55, Private,247552, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,0
119,22, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,0
120,21, Private,199915, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
121,40, Private,118853, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
122,30, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,0
123,29, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
124,19, Private,301606, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,0
125,47, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1
126,20, Private,111697, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States,0
127,31, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
129,39, Private,365739, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
130,28, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,0
131,24, Private,43323, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,0
132,38, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States,0
133,37, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
134,46, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,0
135,38, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,1
136,43, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
137,27, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,0
138,20, Private,34310, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0
139,49, Private,81973, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1
140,61, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
141,27, Private,232782, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
142,19, Private,316868, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,0
143,45, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States,1
144,70, Private,105376, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,0
145,31, Private,185814, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,0
146,22, Private,175374, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,0
147,36, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,0
148,64, Private,181232, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States,0
150,47, Local-gov,186009, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,0
151,34, Private,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
152,33, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0
153,21, Private,296158, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,0
155,48, Private,187715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,0
156,23, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
157,71, Self-emp-not-inc,494223, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States,0
158,29, Private,191535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
159,42, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,0
161,25, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,0
162,44, Self-emp-inc,78374, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0
163,28, Private,88419, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,0
164,45, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
165,36, Private,207157, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,0
166,39, Federal-gov,235485, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,0
167,46, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,0
168,18, Private,25828, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,0
169,66, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,0
170,27, Private,124953, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,0
171,28, State-gov,175325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
172,51, Private,96062, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States,1
173,27, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,0
174,28, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
175,27, Private,253814, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,0
176,21, Private,312956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,0
177,34, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0
178,18, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,0
179,33, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,0
180,44, Local-gov,181344, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,1
181,43, Private,114580, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
182,30, Private,633742, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,0
183,40, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,1
184,37, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,1
185,34, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,0
186,41, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
188,31, Private,99928, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,0
189,58, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States,1
190,38, Private,155222, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,0
191,24, Private,159567, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
192,41, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
193,47, Private,120939, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,0
194,41, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,0
195,23, Private,197387, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,0
196,36, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
197,40, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States,1
198,35, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,1
199,24, Self-emp-not-inc,32921, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
200,26, Private,397317, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States,0
202,51, Private,259323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
203,42, Local-gov,254817, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States,0
204,37, State-gov,48211, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,0
205,18, Private,140164, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
206,36, Private,128757, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States,1
207,35, Private,36270, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
208,58, Self-emp-inc,210563, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States,1
209,17, Private,65368, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,0
210,44, Local-gov,160943, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0
211,37, Private,208358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
212,35, Private,153790, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
213,60, Private,85815, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0
214,54, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
215,37, Private,635913, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,1
216,50, Private,313321, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0
217,38, Private,182609, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,0
218,45, Private,109434, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,0
219,25, Private,255004, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
220,31, Private,197860, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
222,90, Private,51744, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,0
223,54, Private,176681, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,0
224,53, Local-gov,140359, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,0
225,18, Private,243313, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
227,66, Self-emp-not-inc,167687, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States,0
228,75, Private,314209, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,0
229,65, Private,176796, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
230,35, Private,538583, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States,0
231,41, Private,130408, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,0
232,25, Private,159732, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,0
233,33, Private,110978, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,0
234,28, Private,76714, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,1
235,59, State-gov,268700, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
236,40, State-gov,170525, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,0
237,41, Private,180138, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran,1
238,38, Local-gov,115076, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1
239,23, Private,115458, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
240,40, Private,347890, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
241,41, Self-emp-not-inc,196001, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States,0
242,24, State-gov,273905, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,0
244,38, Private,179488, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States,0
246,58, Private,236596, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,1
247,32, Private,183916, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States,0
248,40, Private,207578, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, United-States,1
250,41, Private,112763, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,1
251,42, Private,390781, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,0
252,59, Local-gov,171328, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States,0
253,19, Local-gov,27382, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
254,58, Private,259014, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States,0
255,42, Self-emp-not-inc,303044, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
256,20, Private,117789, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
257,32, Private,172579, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States,0
258,45, Private,187666, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,0
259,50, Private,204518, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
260,36, Private,150042, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
261,45, Private,98092, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,0
262,17, Private,245918, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,0
263,59, Private,146013, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, United-States,0
264,26, Private,378322, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
