NewsML,Labels
"The mother of detained Chinese dissident Wang Dan said on Monday she would defend her son in court against the capital charge of plotting to overthrow the government. ""Two defence counsels are allowed...I will be one of them,"" Wang Lingyun, a 61-year-old researcher at a museum who has no background in law, told Reuters in an interview. ""Wang Dan also wants me to defend him,"" she said. Chinese laws allow accused to be defended by family members. A court spokeswoman confirmed Wang Dan, 26, had been charged with plotting to overthrow the government but declined to give further details. Wang Dan's mother said the court had yet to inform her of the trial date, but said it could come as early as this week. She said she would defend her son against the charge of collaborating with overseas subversive forces. ""This charge does not stand up,"" she said, adding that Wang Dan had only taken a correspondence course at the University of California, Berkeley, in the United States. ""It has nothing to do with politics. I was the one who wanted him to attend the course...It has nothing to do with overthrowing the government,"" she said. Asked to comment on the chances of winning, she said: ""I'm not optimistic. But I must say it for the record. This will become history."" Relatives said last week they had found a lawyer willing to defend Wang after being given one day to find one. The lawyer retained by the family would defend the dissident against other charges in the indictment. Wang Dan, former leader of the 1989 pro-democracy demonstrations, has been charged with the capital offence of plotting to subvert the government, based on evidence such as writings critical of the state and accepting funds from abroad. He was detained by police in a raid on his home in May 1995, but was not formally arrested or charged until last week. On Friday, the family obtained a copy of the bill of indictment, which accused Wang Dan of plotting to subvert the government, a crime that carries a maximum penalty of death. The minimum sentence is 10 years, although the court can show leniency if it finds extenuating circumstances. Wang has already served four years in prison for counter-revolutionary crimes, or subversion, for his role in the 1989 demonstrations centred in Beijing's Tiananmen Square, which were crushed by the army with heavy loss of life. Wang had been expected to face new charges since last December, when the court that convicted veteran democracy activist Wei Jingsheng of plotting to overthrow the government also implicated the former student leader. The court's verdict said Wei, who was jailed for 14 years, had links with people ""convicted of counter-revolutionary crimes, including Wang Dan"". It also referred to a tape-recorded conversation between Wang and Wei, but gave no details. Wang had been active since his release from jail, defying persistent police surveillance and harassment to join in a daring appeal to communist leaders for the release of all those still in prison for their part in the 1989 protests. ",BenjaminKangLim
"The trial of prominent Chinese dissident and former student leader Wang Dan for the capital charge of plotting to overthrow the government is expected to be held behind closed doors soon, a family member said on Tuesday. The Beijing Number One Intermediate People's Court had yet to inform Wang's family of the trial date, the relative said. The court was widely expected to fill the limited number of courtroom seats with carefully selected people to keep away foreign reporters and fellow dissidents. ""Only the people notified by the court can attend the trial. Others cannot attend,"" the family member said in a telephone interview. ""In reality, the trial will not be open...but the court will not admit it is not an open trial,"" the relative said. ""It tells a group of people to attend and calls this an open trial."" A court official, contacted by telephone, declined to comment. If last year's trial of Wei Jingsheng, father of China's tiny, struggling democracy movement, was an indication, Wang's trial would be kept from public view, a political activist said. Dissidents and foreign reporters were barred from Wei's trial. Court officials have confirmed that Wang, detained since May 1995, has been charged with plotting to overthrow the government -- a crime that carries a maximum penalty of death and a minimum of 10 years in prison. They have not given further details of the trial though one official said that Wang could appeal to the Higher People's Court if convicted. Relatives said last week they had found a lawyer willing to defend Wang after being given one day to find one. Wang's mother, Wang Lingyun, a 61-year-old museum researcher who has no background in law, has said she would defend her son in court. Chinese law allows an accused to be defended by a family member. It also states that only lawyers can meet detained defendants. Wang's mother was allowed to meet the dissident at a detention centre in Beijing on Monday because she was his legal counsel. The dissident was mentally prepared for a harsh sentence, Wang's mother told a Hong Kong-based group that monitors human rights in China. ""Wang Dan said he has not done anything wrong...He is very calm...and psychologically prepared for a heavy sentence,"" the group quoted the mother as saying. ""She is very worried about his health,"" the group said. It added that Wang had back, throat and prostate problems. ""In the condition that Wang Dan is in, it would be difficult for him to hold out under another long prison sentence,"" it quoted the mother as saying. Wang, 26, has already served four years in prison for counter-revolutionary crimes, or subversion, for his role in pro-democracy demonstrations that were crushed by the army in June 1989 with heavy loss of life. Wang had been expected to face new charges since last December, when the court that convicted Wei Jingsheng implicated Wang. The verdict said Wei, who was jailed for 14 years, had links with people ""convicted of counter-revolutionary crimes, including Wang Dan"". It also referred to a tape-recorded conversation between Wang and Wei, but gave no details. Wang had been active after his parole in 1993, defying persistent police surveillance and harassment to join in a daring appeal to communist leaders for the release of all those still in prison for their part in the 1989 protests. ",BenjaminKangLim
"China's flamboyant tycoon Mou Qizhong is hounded by creditors, faces lawsuits and investigation for alleged irregularities and cannot leave the country, company officials said. The embattled chairman of the Land Economic Group, who has been identified by local media as China's second richest man, was down but not out and was counting on Russian-made satellites to bail him out of financial trouble, they said. ""We're in a crisis,"" Chen Fang, spokeswoman for Mou, told Reuters late on Monday. Mou declined repeated requests for an interview. Domestic creditors had demanded repayment of loans, group officials said. Mou's Land Economic Group owes 200 million yuan ($24.1 million) at home and another 200 million yuan in Hong Kong and Russia. ""Some creditors...have asked for their money back even before the maturity date,"" Chen said, adding that the company was planning to repay the loans gradually. Domestic banks had refused to grant Mou new loans and the group had given up seeking loans from Chinese banks. ""Abruptly recalling loans could be fatal,"" Chen said in an interview. At least one investor had demanded its money back, but agreed to convert its equity into a loan, company officials said. ""The major problem we're facing now is circulating funds getting cut off... As a result, many projects are held up,"" Chen said. Government authorities had cleared Mou of suspicion of tax evasion and of using unlawful funds but he remained under investigation for other unspecified irregularities, company officials said. The authorities had been dragging their feet on renewing his passport apparently out of fear that he may flee the country and join his wife and three sons in the United States. Mou hopes to visit the United States next month. Salaries of employees were slashed to 270 yuan a month -- China's urban minimum wage -- in July and August and were 600 yuan in September from an average of 2,000 yuan a month in the past, the officials said. About 50 people have resigned, leaving some 300. A contractor in Inner Mongolia had sued the Land Group for allegedly defaulting on a contract, and court officials foreclosed on company cars and office equipment in August. ""Many people say that this could be what is called in Buddhism an inexorable doom for Mr Mou or the Land Group,"" Chen said. Chen blamed the woes of Mou on the media ""surrounding and attacking"" him since March as well as a smear campaign by former employees and a government credit squeeze to curb inflation. ""But the Land Group will not collapse,"" she said. Mou plans to raise an unspecified amount of money through a planned share issue, for two Russian-made GALS communications satellites he owns, on the Hong Kong stock exchange, officials said. The first was launched in January 1994 and the second in November 1995. Russia launched both satellites in Kazakhstan. In addition, Mou has bought a 30 percent stake in a company that will develop, manufacture and launch two Russian-made Intersputnik communications satellites. The first of the two satellites is due to be launched from Kazakhstan in late 1998. The satellites were expected to bring Mou net profits of $500 million and bail him out of his current crisis, Chen said. The group has assets worth 1.2 billion yuan and liabilities of just 400 million yuan. It is not Mou's first crisis. He was sentenced to death but eluded execution in the 1966-76 Cultural Revolution for criticising chairman Mao Zedong. Mou was released from prison in 1979 and established his company the following year. He was arrested again and jailed for one year on a charge of speculating in the early 1980s. He ran up huge debts in the mid 1980s but managed to bounce back by importing small refrigerators from South Korea at low tariff rates, raking in millions of yuan. ",BenjaminKangLim
"China sent a senior official to attend a reception at the Ukraine embassy on Friday despite a diplomatic rift over a visit to Kiev by Taiwan's vice president Lien Chan. But an apparent guest list mix-up left both sides unsure over who would represent Beijing at the reception, held to mark Ukraine's independence day. Ukraine's ambassador thought Chinese Vice-Foreign Minister Tian Zengpei would attend, but the Chinese thought it was Vice-Foreign Minister Zhang Deguang. Zhang, however, fell ill and Vice-Foreign Minister Tang Jiaxuan showed up instead. The confusion followed Taiwan Vice President Lien Chan's three-day trip this week to Ukraine which infuriated Beijing. ""It was a misunderstanding...a mix-up,"" Ukrainian Minister-Counsellor Leonid Leshchenko told Reuters, referring to the guest list. Asked if he saw it as an intentional slap on the wrist, Leshchenko shook his head and said: ""No, no no."" A Chinese Foreign Ministry protocol officer said Tian, the vice-minister that the Ukrainians were expecting, was abroad. Ukrainian diplomats noted that Tang, the vice-minister who attended, was filling in for Tian as the acting first vice-minister and was actually higher in rank than the person who fell ill. Ukraine's Ambassador Anatoly Plyushko emerged from a half-hour chat with Vice-Minister Tang, and said the vice-minister told him that China attached ""great attention to bilateral relations"" and ""hoped to continue to develop"" ties. Plyushko said the vice-minister did not raise the issue of Lien's three-day Kiev visit. ""All Chinese guests...invited came,"" Plyushko said. ""This is evidence...(of) their attitude towards our relations. I'm optimistic."" The atmosphere was less pleasant on Wednesday when the Chinese Foreign Ministry summoned Plyushko to protest against Lien's trip. China regards Taiwan as a rebel province with no right to conduct foreign relations on its own, and has sought to push it into diplomatic isolation since a civil war separated them in 1949. The former Soviet republic of Ukraine recognises China but not Taiwan. In apparent retaliation against Lien's visit, Chinese State Councillor Li Tieying, a member of the powerful Politburo of the ruling Communist Party, has postponed a visit to Ukraine. In Kiev, Ukrainian Foreign Minister Hennady Udovenko took a shot at Beijing on Thursday, saying China had over-reacted to Lien's visit and calling Beijing's protest ""out of proportion"". ",BenjaminKangLim
"A son-in-law of China's paramount leader Deng Xiaoping has resigned as director of the armament department of the People's Liberation Army (PLA), Chinese sources with close ties to the military said on Sunday. Major General He Ping, husband of Deng's youngest daughter Deng Rong, quit the post recently after his hopes for promotion were dashed, one source said. ""He Ping was unhappy... He wanted to become deputy chief of general staff, but the Central Military Commission would only make him assistant chief of general staff initially,"" the source, who requested anonymity, told Reuters. The assistant chief of general staff is one rank below the deputy chief of general staff. Another source said a replacement had been named to succeed He Ping as director of the armament department, which supplies equipment to the three million-strong PLA. The commission's refusal to give Deng's son-in-law the post he wanted was not so much a blow to the first family as it was a boost to the position of Communist Party boss Jiang Zemin. ""It was not so much as a challenge to Deng Xiaoping. Rather, it was a sign that Jiang Zemin is now more powerful,"" the second source said. The first source agreed. ""Jiang Zemin does not have to do everything Deng Xiaoping says,"" the source said of the commission's decision not to promote He Ping to deputy chief of general staff. Jiang, who is chairman of the commission, has moved in recent years to shore up his position by appointing allies to key military positions and shrug off Deng's shadow. Deng, 92, no longer holds any office but remains highly influential. He has not been seen in public since early 1994. The paramount leader vouched for his son-in-law, whose company was alleged to have been involved in the smuggling of the biggest haul of automatic weapons in U.S. history. ""Deng Xiaoping spoke. He said: 'It was not He Ping's fault'... He Ping does not have any more problems,"" the first source said of the arms smuggling scandal. ""It was a trap by the United States,"" the source said of the arms seizure. Many communist officials harbour deep suspicions of the United States and the view that the arms seizure was a U.S. conspiracy to undermine China. China's two top government-run arms merchants, Polytechnologies Ltd and China North Industries Corp (Norinco), have rejected U.S. charges they were involved in the scandal. He Ping is president of Poly Group, which is owned by the PLA's armament department. Poly Group subsidiary Polytechnologies is a joint venture with China's flagship multinational China International Trust and Investment Co and headed by Wang Jun, son of a late vice-president and close associate of Deng. Norinco is a civilian organisation that has no direct relationship with the army but supplies it with arms. In March, U.S. federal agents seized a shipment of 2,000 AK-47 fully automatic machine guns and 4,000 ammunition magazines, with a street value of more than $4 million. U.S. agents arrested at least seven people, including executives of Norinco, in May and charged them with involvement in the ring. The seizure was the culmination of a 16-month investigation of senior officials, based in both the United States and China, of Norinco and Polytechnologies. The suspects had offered to sell much more powerful weapons to undercover agents, including mortars, rocket launchers, machineguns and a surface-to-air missile, U.S. officials have said. ",BenjaminKangLim
"China's paramount leader Deng Xiaoping, reported to be in fragile health, was absent from a rally on Tuesday to pay tribute to him and other survivors of the 1934-36 Long March. Deng, 92, one of about 700 surviving veterans of the Red Army who trekked 9,650 km (6,000 miles) across China on foot to flee Chiang Kai-shek's Nationalist troops, did not appear on state television which showed the 45-minute rally live. Deng, who no longer holds any office but is believed to remain highly influential, has not been seen in public since early 1994. His health is a matter of intense speculation in China, Hong Kong and the Asian region because his death is expected to trigger a scramble for power among those eager to succeed him as de facto emperor of the world's most populous nation. The official line is that Deng is in good health for a man of his age. Extensive preparations were made last year for Deng to grace official celebrations to mark the 50th anniversary of the World War Two victory against Japan, but his scheduled appearance was cancelled at the last minute, Chinese sources said. The Long March rally was seen by some analysts as a show of support for Deng's successor, Communist Party boss and state president Jiang Zemin, who has been eager to shrug off the patriarch's shadow. ""It was staged to show Jiang has the support of military from the old to the present and future generations,"" one Chinese analyst said. Long March survivors, including former state president and Jiang's bitter rival Yang Shangkun, were at the rally. A representative of the three million-strong People's Liberation Army pledged to follow Jiang's leadership. Eight Young Pioneers -- China's version of boy and girl scouts -- recited poems at the rally at the Great Hall of the People in central Beijing adjacent to Tiananmen Square. Wearing his trademark army uniform with no stars or stripes, Jiang urged the ruling Communist Party to inherit the spirit of the Long March. ""The spirit of the Long March...is a strong spiritual force that guarantees our walking from victory to victory,"" Jiang said, reading from a prepared statement. The gruelling Long March slashed the Red Army's numbers to about 7,000 from 100,000, but survivors were hardened and went on to defeat and drive Chiang and his troops into exile in Taiwan at the end of the Chinese civil war in 1949. ""The road after the revolution is even longer and the work greater and tougher,"" Jiang said. Jiang has declared war on crime, corruption and poverty -- problems plaguing China today -- and embarked on a crusade to resurrect socialist ethics, which have been eroded by almost two decades of economic reforms. He paid little tribute to his mentor, mentioning Deng only twice in his lengthy speech. The People's Daily, mouthpiece of the Communist Party, splashed on its front page a photograph showing portraits of Jiang, Deng and chairman Mao Zedong hanging over a cultural performance on Monday evening to mark the anniversary. ",BenjaminKangLim
"China on Tuesday slammed Taiwan for failing to crack down on a new opposition party seeking independence for the island and warned that separatism was ""a road to death"". ""Not only do the Taiwan authorities fail to ban the formation of the Taiwan Independence Party, but they also tolerate it,"" a spokesman for the Taiwan Affairs Office under the State Council, or cabinet, said. ""The self-proclaimed anti-independence stand of the Taiwan authorities is a double-faced practice that deceives others as well as themselves,"" the official People's Daily quoted the spokesman as saying. Beijing has regarded Taiwan as a rebel province since Mao Zedong's Red Army defeated and drove Chiang Kai-shek's Nationalist troops into exile in Taiwan at the end of the Chinese civil war in 1949. A group of Taiwanese activists plan to break away from Taiwan's main opposition party and form the Taiwan Independence Party on December 12. China has threatened to invade if Taiwan declared independence. China conducted missile tests and war games off Taiwan last March in the run-up to the island's first direct presidential elections to cow Taipei into abandoning any dreams of independence. ""Taiwan independence is a road to death that cannot be walked because it is blocked,"" the spokesman said. The spokesman described the party as a ""reactional political organisation"" with the explicit purpose of splitting the motherland. ""The Taiwan authorities should adopt realistic anti-independence action as soon as possible. Compatriots on the two sides are waiting to see,"" the spokesman said. ""The Chinese government and the Chinese people will definitely not sit back idly and do nothing about it,"" the spokesman warned. ""Their scheme will never succeed,"" he said of the new party's drive for independence. Taiwan says it is committed to reunification, but stresses that this cannot be achieved overnight and says China must democratise. Beijing's criticism came a day after Taiwanese President Lee Teng-hui blamed China for deadlocked relations between the two. Referring to the Communist authorities, Lee said in a speech on Monday: ""They adopted a hegemonic attitude and stubborn policy toward Taiwan, singlehandedly blocked the development of history and caused the stalemate of cross-Strait relations."" The island maintains an official policy of anti-independence, but has decriminalised advocacy of independence, saying such calls are within the bounds of freedom of speech. Ties between Beijing and Taipei, which began to thaw in the late 1980s, took an icy plunge after a landmark, private visit by Lee to the United States in June 1995. China, which has sought to push Taiwan into diplomatic isolation, saw the trip as a bid to raise the island's international profile. Beijing has stepped up its reunification overture in recent months, calling for political talks to end almost five decades of hostility. China unilaterally introduced a series of regulations last August to pave the way for direct shipping links with Taiwan. Taiwan has banned direct air and shipping links with China since 1949, but allows indirect links through Hong Kong or third countries. Taiwan is reluctant to lift the ban lest the island become an economic hostage to China. ",BenjaminKangLim
"China demanded on Monday that the United States cancel plans to sell Stinger missiles, launchers and other weapons to Taiwan to prevent ""new damage"" to slowly recovering Sino-U.S. relations. ""We ask the U.S. side...to cancel plans to sell missiles to Taiwan to prevent creating new damage to Sino-U.S. relations,"" a Foreign Ministry spokesman told Reuters. Beijing has regarded Taiwan as a renegade province since the end of the civil war in 1949. It opposes the sale of weapons to the island. The United States should take Sino-U.S. relations into account and live up to its promise regarding the sale of weapons to Taiwan, the spokesman said without elaborating. Washington has agreed to reduce weapons sales to Taiwan. Rejecting a similar demand by China on August 15, the U.S. Defence Department notified Congress last Friday of plans to sell Stinger missiles, launchers and other weapons to Taiwan. U.S. officials said the weapons were defensive and the sale would not affect the basic military balance in the region. The Pentagon said Taiwan wanted to buy 1,299 Stinger missiles, 74 guided missile launchers, 74 flight trainer Stinger missiles, 96 jeep-like Humvee vehicles and 500 rounds of .50 calibre ammunition for an estimated $420 million. The principal contractors are the Hughes Missile Systems Co., Boeing Missile and Space Systems Co. and AM General. Such sales must be made through the U.S. Defence Department, not directly by contractors, and Congress must be notified in case it wants to veto the sale. Sino-U.S. ties have see-sawed in recent years over disputes ranging from human rights abuses and widespread copyright piracy in China to alleged nuclear proliferation by Beijing. The ties plunged to new depths over the last year in a row over a landmark trip by Taiwan's President Lee Teng-hui to the United States in June 1995. Earlier this month, Beijing warned Washington that a U.S. stopover by Taiwan's Vice-President Lien Chan could cause new damage to slowly recovering ties. However, in a sign that China was eager to prevent Lien's visit from harming slowly warming relations, Beijing refrained from further comment while Lien was in the United States. Ties between Beijing and Washington were set on better footing after a visit to Beijing by U.S. National Security Adviser Anthony Lake in July. The trip laid the groundwork for an exchange of high-level visits later in the year, with U.S. Secretary of State Warren Christopher invited to China in November and Chinese Defence Minister Chi Haotian due to go to Washington before the end of December. An exchange of visits by Chinese President Jiang Zemin and U.S. President Bill Clinton could go ahead next year, if Clinton wins re-election in November. Chinese officials have said they expect Christopher's visit, his first since a 1994 trip that stumbled badly over human rights, to go smoothly with both sides keen to remove obstacles in their relations. In a separate development that could strain Sino-U.S. ties, the Washington Post reported on Sunday that U.S. intelligence officials had concluded that Pakistan was secretly building a medium-range missile factory near Islamabad using Chinese blueprints and equipment. Asked to comment on the report, Chinese Foreign Ministry spokesman Shen Guofang said: ""The report is totally groundless."" ",BenjaminKangLim
"China said on Friday that Taiwan was a pawn and toy of hostile Western forces out to weaken and divide the country and thwart its development. ""Taiwan...acts as a pawn of international anti-Chinese forces, a toy in the hands of others,"" said a front-page commentary in the People's Daily, the ruling Communist Party's official newspaper. The commentary, issued to mark the 25th anniversary of Beijing's ousting of Taipei from the United Nations, accused Taiwan of collaborating with forces hostile towards China to try to regain admission to the world body. ""Some Western forces have ceaselessly played the 'human rights card', 'Tibet card' to limit China's development,"" the commentary said. ""They see the Taiwan issue as one of their trump cards -- an important means of weakening and dividing China,"" it said without naming any countries but implying the United States. In September, the U.S. House of Representatives approved a non-binding resolution supporting Taiwan's efforts to rejoin the United Nations, enraging Beijing. China, which regards Taiwan as a rebel province, maintains that the issue was settled once and for all in 1971 when Taipei was replaced by Beijing at the United Nations. The commentary said countries that have helped Taiwan with its bid to regain admission to the United Nations were shortsighted like ""rats which can only see an inch in front of their eyes"". It urged Taiwan's allies, mainly Central American, African and Caribbean countries, to stop ""foolish activities in the interest of others"". For the fourth consecutive year, China and its supporters blocked moves in the General Assembly in September to consider U.N. membership for wealthy but diplomatically isolated Taiwan. China considers any move to give Taiwan U.N. membership an encroachment on its sovereignty and an interference in its internal affairs. Beijing and Taipei have been diplomatic rivals since Mao Zedong's Red Army defeated Chiang Kai-shek's Nationalists and forced them to flee to Taiwan at the end of the Chinese civil war in 1949. Beijing's communist rulers have sought to push the island into diplomatic isolation to force it into reunification. Almost 160 countries recognise Beijing, while 30 have diplomatic relations with Taiwan. Both communist Beijing and capitalist Taipei agree to reunify one day, albeit on different terms. China has threatened to invade if the island declares independence. The commentary said Taiwan's offer to give $1.0 billion to the United Nations on admission into the world body had become an ""international joke"". It jeered at the argument that Taiwan deserved a seat as it was now democratic and economically prosperous, saying the island was ""deceiving others and itself"". ""No matter what political system Taiwan implemented or what level of economic development it attained...regaining admission to the United Nations would be purely a dream,"" it said. ",BenjaminKangLim
"A group of foreign legal experts has asked China for permission to observe next week's trial of detained dissident Wang Dan, a human rights group said on Saturday. Wang faces the capital charge of plotting to overthrow the government, a crime that carries a maximum penalty of death and a minimum sentence of 10 years in prison. The legal team consists of French senator Robert Badinter, former U.S. attorneys-general Nicholas Katzenback and Richard Thornburgh and former Canadian solicitor-general Warren Allmand, the New York-based Human Rights Watch said. ""The request ... is in part to see whether the right of Wang Dan to a fair and public hearing by an independent and impartial tribunal ... is respected,"" the human rights group said. Wang, 26, who vanished into detention in May 1995, would plead not guilty at his Beijing Intermediate People's Court trial which opens on Wednesday, family members have said. The human rights group said the chances of China allowing the foreign legal experts to observe the trial were slim. ""Admittance to the courtroom is often denied to ... journalists and other 'outsiders' on grounds that the courtroom is 'too small',"" Human Rights Watch said. Wang's court appearance would likely be held out of the public eye, as was last year's trial of Wei Jingsheng, regarded as the father of China's tiny, struggling democracy movement. Wang's mother, a 61-year old museum researcher who has no background in law, would attend the trial as one of two defence lawyers. His father and a sister have been allowed to sit in. The court has refused to give details of Wang's trial other than the fact that he has been charged with plotting to overthrow the government, but one official has said Wang could appeal to the Higher People's Court if convicted. Wang's mother has said the dissident was calm and mentally prepared for a harsh sentence, though she has said his health has deteriorated during his detention. Human Rights Watch was not optimistic about an acquittal. ""He has not had adequate time to prepare a defence,"" it said in a statement made available to Reuters by facsimile. ""Chinese criminal trials seldom respect the presumption of innocence, and defence lawyers are generally restricted to arguing mitigating circumstances for a reduced sentence,"" the group said. Wang's family have found a lawyer willing to defend the former student leader after being given just one day in which to do so. Wang has already served four years in prison for counter-revolutionary crimes, or subversion, for his role in pro-democracy demonstrations in Beijing's Tiananmen Square that were crushed by the army in June 1989 with heavy loss of life. He had been active after his parole in 1993, defying persistent police surveillance to join in a daring appeal to communist leaders for the release of all those still in prison for their part in the 1989 protests. China has in recent months cracked down on its tiny band of remaining dissidents who have not fled into exile or been imprisoned. ",BenjaminKangLim
"Beijing Mayor Li Qiyan is to step down in a long-delayed reshuffle after the downfall of his mentor, the Chinese capital's disgraced Communist Party boss Chen Xitong, sources with close ties to the city government said on Sunday. Li, 58, mayor of Beijing since 1993, would become a vice-minister of labour and could eventually replace Li Boyong, 62, as labour minister, said the sources who asked not to be identified. The two Lis are not related. Li Qiyan's departure was widely expected after one of his vice-mayors came under investigation for economic crimes and committed suicide in April 1995. The suicide shocked the nation and led to the downfall of Li's mentor, Chen Xitong, who has since disappeared from the public eye. Chen resigned as Beijing's Communist Party boss and was later sacked from the Politburo, becoming the most senior official to be ensnared in a corruption scandal since the communists came to power in 1949. Officials say Chen was himself still under investigation for possible wrongdoing. The city government had been virtually paralysed since Chen's disgrace, the sources said. ""After Chen Xitong stepped down, the (city) government lost its credibility ... and could maintain only the most basic operation,"" one source told Reuters. ""It could not embark on huge projects ... It could not do anything."" Li would be replaced by Jia Qinglin, 56, party secretary of the southeastern province of Fujian, the sources said. Jia arrived in Beijing last week to take up his new post as acting mayor, the sources said. Jia is expected to formally become the capital's mayor after his nomination is approved by the Beijing People's Congress. In the run-up to the party's 15th congress next year, Jia could be promoted to Beijing's Communist Party secretary and land a seat in the party's powerful Politburo, they said. The vice-mayor who committed suicide was found to have used his position to amass 116 houses illegally and build himself a villa on the outskirts of the city. He also masterminded a $37 million embezzlement and graft scam, officials have said. Corruption was virtually eliminated in the years after the communists came to power in 1949, but has staged a comeback along with economic reforms in the past 17 years. Communist Party chief and state president Jiang Zemin has declared war on corruption, warning that the scourge was a virus which threatened the party. Courts frequently impose the death penalty in major corruption cases. Earlier this month, prosecutors filed charges of corruption against 30 people, including Zhou Beifang, former head of two publicly listed Hong Kong affiliates of a China steel giant, and two former officials of the Beijing city government. The announcement of the charges against Zhou was among the first against one of China's so-called ""princelings"", the popular sobriquet applied to the children of the ruling party elite, who enjoy wide influence. Zhou, detained in February, 1995, is the son of Zhou Guanwu, former chairman and Communist Party secretary of Beijing's giant Capital Iron and Steel Corporation, also known as Shougang, and among the largest conglomerates in China. ",BenjaminKangLim
"The mayor of China's capital resigned on Tuesday in a reshuffle that had been expected since the downfall last year of his mentor, disgraced Beijing Communist Party boss Chen Xitong, in a corruption scandal. The Beijing People's Congress had approved the resignation of city mayor Li Qiyan, the official Xinhua news agency said. It did not explain why Li, 58, was stepping down, saying only that he would become secretary of the Labour Ministry's Communist Party committee. Chinese sources have said Li Qiyan could eventually replace Li Boyong as labour minister. The two men have the same surname but are not related. Diplomats and Chinese sources said Li was forced to step down because of his close links to Chen, who resigned as Beijing party boss in April 1995 after his protege, a vice-mayor, came under investigation for economic crimes and committed suicide. ""Li Qiyan had been closely associated with Chen Xitong...and Li Qiyan's departure was inevitable,"" a Western diplomat said. ""When revelations about the extent of corruption in the Beijing government became public, sweeping changes of the Beijing leadership were required but could not be done in one go in the interest of preserving stability,"" the diplomat said. Chinese sources said the city government had been virtually paralysed since Chen's downfall and that authorities had decided they could no longer delay naming a new mayor. Chen was sacked from the party's powerful Politburo in September 1995, the most senior official to be ensnared in a corruption scandal since the communists came to power in 1949. He has since disappeared from public view and has come under investigation for possible wrongdoing. It was not known if Li was under investigation. Xinhua said the Beijing People's Congress, or city council, had approved the appointment of Jia Qinglin, 56, as vice and acting mayor of the nation's capital. The Central Committee of the Communist Party named Jia to the post of vice secretary of Beijing's party committee. Jia had resigned as party secretary of the southeastern province of Fujian and was replaced by Fujian Governor Chen Mingyi, Xinhua said. Fujian Vice-Governor He Guoqiang would replace Chen as the provincial governor, it said. In the run-up to the party's 15th congress next year, Jia could be promoted to chief of the Beijing municipal party committee and even land a seat in the Politburo, Chinese sources have said. Corruption was virtually eliminated in the years after the communists came to power in 1949, but has staged a comeback along with economic reforms in the past 17 years. Wang Baosen, the vice-mayor who committed suicide was found to have used his position to amass 116 houses illegally and build himself a villa on the outskirts of the city. He also masterminded a $37 million embezzlement and graft scam, officials have said. Communist Party chief and state president Jiang Zemin has declared war on corruption, warning that the scourge was a virus that threatened the party. Courts frequently impose the death penalty in major corruption cases. ",BenjaminKangLim
"One of China's most prominent dissidents, Wang Dan, will likely receive a harsh sentence for the charge of plotting to overthrow the government, his mother said on Tuesday. Wang would plead not guilty to the capital charge when his trial at the Beijing Intermediate People's Court begins on Wednesday, said the dissident's mother, Wang Lingyun. ""The court...giving my son a harsh sentence even though he is innocent is very likely to happen,"" Wang Lingyun told Reuters. ""I dare not rule it out."" She said court officials told her the verdict could be delivered as early as Wednesday or in two days, adding that family members have been under surveillance in recent weeks. Wang Dan, 26, who vanished into detention in May 1995, faces a minimum of 10 years in prison and a maximum penalty of death for allegedly plotting to overthrow the government. The court has refused to give details of Wang's trial other than that the dissident has been charged with plotting to overthrow the government. But one official has said Wang could appeal to the Higher People's Court if convicted. The New York-based Human Rights Watch said last week the chances of an acquittal were slim because Wang has not had adequate time to prepare a defence. The dissident's family has found a lawyer willing to defend the former student leader after being given just one day in which to do so. The human rights group said Chinese criminal trials seldom respect the presumption of innocence, and defence lawyers are generally restricted to arguing mitigating circumstances for a reduced sentence. Wang's court appearance would likely be held out of the public eye, as was last year's trial of Wei Jingsheng, regarded as the father of China's tiny, struggling democracy movement. The Chinese authorities have been quiet on a request by the U.S. Embassy in Beijing to send observers to Wang's trial, diplomats said. French senator Robert Badinter, former U.S. attorneys general Nicholas Katzenback and Richard Thornburgh, and former Canadian solicitor-general Warren Allmand have also said they want to observe Wang's trial. Foreign Ministry spokesman Shen Guofang on Tuesday shrugged off questions from reporters about the status of the requests, saying Wang's trial was China's internal affairs. Beijing has repeatedly come under fire from the West for human rights abuses. It says foreign intervention in China's internal affairs is not welcomed. Wang's mother, a 61-year old museum researcher who has no background in law, would attend the trial as one of two defence lawyers. His father and a sister would be allowed to sit in. The mother has said the dissident was calm and mentally prepared for a harsh sentence, although she has said his health has deteriorated during his detention. Wang has already served four years in prison for counter-revolutionary crimes, or subversion, for his role in pro-democracy demonstrations in Beijing's Tiananmen Square that were crushed by the army in June 1989 with heavy loss of life. He was active after his parole in 1993, defying persistent police surveillance to join a daring appeal to communist leaders for the release of all those still in prison for their part in the 1989 protests. China has recently cracked down on the few remaining dissidents who have not fled into exile or been jailed. ",BenjaminKangLim
